name;price;shipping
Computador Completo Fácil Intel I3 04 Gb Ddr3 Ssd 120 Gb;2079.0;Free
Pc Computador Cpu Core I5 650 + Ssd 240gb, 8gb Memória Ram;1419.0;Free
"Notebook Multilaser Legacy Book PC310 preta 14.1"", Intel Celeron N3000  4GB de RAM 64GB SSD, Intel HD Graphics 1366x768px Windows 10 Home";1715.0;Free
Pc Computador Cpu Intel Core I5 + Ssd 240gb, 8gb Memória Ram;1700.0;Free
Cpu Pc Gamer Intel I5  24008gb  Ssd 240gb Geforce Gt610 2gb ;1899.0;Free
"Notebook Multilaser Legacy Cloud PC131 cinza 14"", Intel Atom X5-Z8350  2GB de RAM 32GB SSD 1366x768px Windows 10 Home";1614.0;Free
Pc Computador Cpu Intel Core I5 Ssd 240gb / 8gb Memória Ram;1700.0;Free
Pc Computador Cpu Intel Core I3 Ssd 240gb / 8gb Memória Ram;1546.0;Free
Cpu Pc Gamer Intel Core I5 3.6ghz 8gb Ssd240gb Fonte 500wts;1988.0;Free
Disco rígido externo Seagate Expansion STEA1000400 1TB preto;324.0;Free
Computador Completo Fácil Intel I3 04 Gb Ddr3 Ssd 120 Gb;2079.0;Free
Computador Completo Fácil Intel I3 04 Gb Ddr3 Hd 500 Gb ;2039.0;Free
"Notebook Multilaser Legacy Book PC250 preta 14.1"", Intel Celeron N3350  4GB de RAM 64GB SSD, Intel HD Graphics 500 1366x768px Windows 10 Home";1699.0;Free
Pc Gamer Completo I5 16gb 1tb Monitor + Kit Gamer Full Hd;3499.0;Free
Computador Completo Fácil Intel I3 04 Gb Ddr3 Hd 500 Gb ;2039.0;Free
Computador Cpu Intel I3 4gb Ssd 120gb Hdmi Pronta Entrega;1200.0;Free
Pc Gamer Maximus I5 Gt 730 8gb Hd 1tb Wi-fi;3499.0;Free
Pc Computador Cpu Intel Core I5 + Ssd 120gb, 8gb Memória Ram;1555.0;Free
Cpu + Monitor Dell Optiplex 3050 Core I5 7ger 8gb 1tb - Novo;3799.0;Free
Disco sólido interno Kingston SA400S37/480G 480GB preto;36399.0;Free
Pc Gamer 8gb + Kit Monitor Teclado Mouse Headset;2729.0;Free
Cpu Monitor Dell Optiplex Core I5 4gb 500gb - Novo;2999.0;Free
Cpu + Monitor Dell Optiplex 3050 Core I5 7ger 8gb 1tb - Novo;3799.0;Free
